
Name : 1 giao dịch với tuthanvutru || Time : 2022-05-04 11:45:36 || Item chuyển : [752 Số lượng : 1;751 Số lượng : 1;749 Số lượng : 1;750 Số lượng : 1;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : tuthanvutru giao dịch với 1 || Time : 2022-05-04 11:45:36 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[752 Số lượng : 1;751 Số lượng : 1;749 Số lượng : 1;750 Số lượng : 1;] Xu nhận :0

Name : tuthanvutru giao dịch với 1 || Time : 2022-05-04 11:47:45 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 953 Số lượng : 1; ] Xu nhận :0

Name : 1 giao dịch với tuthanvutru || Time : 2022-05-04 11:47:45 || Item chuyển : [ 953 Số lượng : 1; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : kimlong giao dịch với chapcasv || Time : 2022-05-04 11:48:06 || Item chuyển : [743 Số lượng : 100;] Xu giao dịch :0 || Item Nhận :[ 967 Số lượng : 36; ] Xu nhận :0

Name : chapcasv giao dịch với kimlong || Time : 2022-05-04 11:48:06 || Item chuyển : [ 967 Số lượng : 36; ] Xu giao dịch :0 || Item Nhận :[743 Số lượng : 100;] Xu nhận :0

Name : tuthanvutru giao dịch với chapcasv || Time : 2022-05-04 11:49:22 || Item chuyển : [743 Số lượng : 20;] Xu giao dịch :0 || Item Nhận :[ 772 Số lượng : 2; ] Xu nhận :0

Name : chapcasv giao dịch với tuthanvutru || Time : 2022-05-04 11:49:22 || Item chuyển : [ 772 Số lượng : 2; ] Xu giao dịch :0 || Item Nhận :[743 Số lượng : 20;] Xu nhận :0

Name : sieunhankiem giao dịch với vipkoae || Time : 2022-05-04 12:12:34 || Item chuyển : [437 Số lượng : 6441;436 Số lượng : 12821;438 Số lượng : 3196;] Xu giao dịch :0 || Item Nhận :[ 584 Số lượng : 1; ] Xu nhận :0

Name : vipkoae giao dịch với sieunhankiem || Time : 2022-05-04 12:12:34 || Item chuyển : [ 584 Số lượng : 1; ] Xu giao dịch :0 || Item Nhận :[437 Số lượng : 6441;436 Số lượng : 12821;438 Số lượng : 3196;] Xu nhận :0

Name : napgan10ty giao dịch với ltsuki || Time : 2022-05-04 12:16:22 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 814 Số lượng : 1; ] Xu nhận :0

Name : ltsuki giao dịch với napgan10ty || Time : 2022-05-04 12:16:22 || Item chuyển : [ 814 Số lượng : 1; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : napgan10ty giao dịch với main09 || Time : 2022-05-04 12:35:20 || Item chuyển : [814 Số lượng : 1;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : main09 giao dịch với napgan10ty || Time : 2022-05-04 12:35:20 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[814 Số lượng : 1;] Xu nhận :0

Name : napgan10ty giao dịch với zerous || Time : 2022-05-04 12:40:36 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 958 Số lượng : 2000; ] Xu nhận :0

Name : zerous giao dịch với napgan10ty || Time : 2022-05-04 12:40:36 || Item chuyển : [ 958 Số lượng : 2000; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : napgan10ty giao dịch với zerous || Time : 2022-05-04 12:47:27 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 954 Số lượng : 20000; ] Xu nhận :0

Name : zerous giao dịch với napgan10ty || Time : 2022-05-04 12:47:27 || Item chuyển : [ 954 Số lượng : 20000; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : napgan10ty giao dịch với zerous || Time : 2022-05-04 13:01:44 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 954 Số lượng : 20000; ] Xu nhận :0

Name : zerous giao dịch với napgan10ty || Time : 2022-05-04 13:01:44 || Item chuyển : [ 954 Số lượng : 20000; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : napgan10ty giao dịch với ltsuki || Time : 2022-05-04 13:18:34 || Item chuyển : [967 Số lượng : 5;967 Số lượng : 9;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : ltsuki giao dịch với napgan10ty || Time : 2022-05-04 13:18:34 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[967 Số lượng : 5;967 Số lượng : 9;] Xu nhận :0

Name : test22 giao dịch với l7l7l7l7l7 || Time : 2022-05-04 13:26:04 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 967 Số lượng : 84;  596 Số lượng : 42; ] Xu nhận :0

