
 Name : bigboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 235 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 234 và 1|| Thời gian tách : 2022-05-19 00:40:05

 Name : bigboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 234 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 233 và 1|| Thời gian tách : 2022-05-19 00:40:08

 Name : bigboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 233 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 232 và 1|| Thời gian tách : 2022-05-19 00:40:10

 Name : bigboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 232 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 231 và 1|| Thời gian tách : 2022-05-19 00:40:12

 Name : bigboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 231 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 230 và 1|| Thời gian tách : 2022-05-19 00:40:16

 Name : klinhh đã tách vật phẩm || Vật phẩm tách: 772 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-19 00:45:07

 Name : o0bonghe0o đã tách vật phẩm || Vật phẩm tách: 875 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-19 04:38:13

 Name : paodayne đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-05-19 05:45:08

 Name : paodayne đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-05-19 05:45:23

 Name : paodayne đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-05-19 05:45:27

 Name : paodayne đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-19 05:45:31

 Name : paodayne đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-19 05:45:36

 Name : paodayne đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-19 05:45:44

