
 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3205 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 2705 và 500|| Thời gian tách : 2022-06-02 00:24:16
 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 53 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 43 và 10|| Thời gian tách : 2022-06-02 07:05:22

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 43 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 33 và 10|| Thời gian tách : 2022-06-02 07:05:25

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 33 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 23 và 10|| Thời gian tách : 2022-06-02 07:05:27

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 23 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 13 và 10|| Thời gian tách : 2022-06-02 07:05:29

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 13 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 3 và 10|| Thời gian tách : 2022-06-02 07:05:32

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 4 và 5|| Thời gian tách : 2022-06-02 07:06:39

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 4 và 5|| Thời gian tách : 2022-06-02 07:06:42

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 5 và 5|| Thời gian tách : 2022-06-02 07:06:45

