
 Name : tachibe đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-18 11:29:47

 Name : s2biins2s đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 1 và 5|| Thời gian tách : 2022-05-18 11:33:23

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 5 và 2|| Thời gian tách : 2022-05-18 11:53:27

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-18 11:53:54

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 4 || Số lượng vật phẩm sau khi tách: 1 và 4|| Thời gian tách : 2022-05-18 11:54:09

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 1 và 3|| Thời gian tách : 2022-05-18 11:54:19

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 1 và 2|| Thời gian tách : 2022-05-18 11:54:25

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-18 11:55:16

 Name : khanhvvsvs đã tách vật phẩm || Vật phẩm tách: 778 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-18 12:01:56

 Name : trumdatbac đã tách vật phẩm || Vật phẩm tách: 588 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-05-18 12:06:48

 Name : trumdatbac đã tách vật phẩm || Vật phẩm tách: 588 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-05-18 12:07:17

 Name : trumdatbac đã tách vật phẩm || Vật phẩm tách: 588 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-18 12:07:30

 Name : trumdatbac đã tách vật phẩm || Vật phẩm tách: 588 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-18 12:07:52

 Name : trumdatbac đã tách vật phẩm || Vật phẩm tách: 588 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-18 12:07:58

 Name : trumdatbac đã tách vật phẩm || Vật phẩm tách: 588 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-18 12:08:01

 Name : s2biins2s đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 1 và 3|| Thời gian tách : 2022-05-18 12:29:07

 Name : habara đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-18 12:29:09

 Name : habara đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-18 12:29:15

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 100 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 50 và 50|| Thời gian tách : 2022-05-18 12:48:15

 Name : facebook đã tách vật phẩm || Vật phẩm tách: 987 || Số lượng vật phẩm ban đầu 3653 || Số lượng tách: 153 || Số lượng vật phẩm sau khi tách: 3500 và 153|| Thời gian tách : 2022-05-18 12:48:57

 Name : youtobe đã tách vật phẩm || Vật phẩm tách: 987 || Số lượng vật phẩm ban đầu 5204 || Số lượng tách: 204 || Số lượng vật phẩm sau khi tách: 5000 và 204|| Thời gian tách : 2022-05-18 12:49:51

 Name : kkkkkk đã tách vật phẩm || Vật phẩm tách: 987 || Số lượng vật phẩm ban đầu 3405 || Số lượng tách: 1500 || Số lượng vật phẩm sau khi tách: 1905 và 1500|| Thời gian tách : 2022-05-18 12:50:42

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-18 12:52:31

 Name : baoanh đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-18 13:10:55

 Name : baoanh đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-18 13:31:54

 Name : chienthan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 38 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 18 và 20|| Thời gian tách : 2022-05-18 14:15:59

 Name : outtrinh đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-18 14:24:43

 Name : kobeoi đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 16 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 6 và 10|| Thời gian tách : 2022-05-18 14:58:08

 Name : kobeoi đã tách vật phẩm || Vật phẩm tách: 948 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 4 || Số lượng vật phẩm sau khi tách: 5 và 4|| Thời gian tách : 2022-05-18 14:58:12

 Name : kobeoi đã tách vật phẩm || Vật phẩm tách: 947 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 5 và 5|| Thời gian tách : 2022-05-18 14:58:15

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 50 || Số lượng tách: 40 || Số lượng vật phẩm sau khi tách: 10 và 40|| Thời gian tách : 2022-05-18 14:59:25

 Name : kobeoi đã tách vật phẩm || Vật phẩm tách: 641 || Số lượng vật phẩm ban đầu 3141 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3140 và 1|| Thời gian tách : 2022-05-18 15:11:28

 Name : kobeoi đã tách vật phẩm || Vật phẩm tách: 638 || Số lượng vật phẩm ban đầu 3053 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3052 và 1|| Thời gian tách : 2022-05-18 15:11:31

 Name : kobeoi đã tách vật phẩm || Vật phẩm tách: 639 || Số lượng vật phẩm ban đầu 1622 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1621 và 1|| Thời gian tách : 2022-05-18 15:11:33

 Name : kobeoi đã tách vật phẩm || Vật phẩm tách: 642 || Số lượng vật phẩm ban đầu 2580 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2579 và 1|| Thời gian tách : 2022-05-18 15:11:35

 Name : kobeoi đã tách vật phẩm || Vật phẩm tách: 987 || Số lượng vật phẩm ban đầu 4651 || Số lượng tách: 4500 || Số lượng vật phẩm sau khi tách: 151 và 4500|| Thời gian tách : 2022-05-18 15:14:51

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 200 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 195 và 5|| Thời gian tách : 2022-05-18 15:16:50

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-18 15:16:56

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-18 15:16:58

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-18 15:16:59

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-18 15:17:01

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-18 15:17:04

 Name : nhusiunhan đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-18 15:17:13

