
 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 750 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 740 và 10|| Thời gian tách : 2022-06-11 01:44:46

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 740 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 730 và 10|| Thời gian tách : 2022-06-11 01:44:49

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 730 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 720 và 10|| Thời gian tách : 2022-06-11 01:44:51

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 720 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 710 và 10|| Thời gian tách : 2022-06-11 01:44:55

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 710 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 700 và 10|| Thời gian tách : 2022-06-11 01:44:57

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 700 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 690 và 10|| Thời gian tách : 2022-06-11 01:45:00

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 690 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 680 và 10|| Thời gian tách : 2022-06-11 01:45:03

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 680 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 670 và 10|| Thời gian tách : 2022-06-11 01:45:06

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 670 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 669 và 1|| Thời gian tách : 2022-06-11 01:45:14

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 669 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 659 và 10|| Thời gian tách : 2022-06-11 01:45:19

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 653 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 652 và 1|| Thời gian tách : 2022-06-11 01:54:49

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 652 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 651 và 1|| Thời gian tách : 2022-06-11 01:54:52

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 651 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 650 và 1|| Thời gian tách : 2022-06-11 01:54:55

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 650 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 649 và 1|| Thời gian tách : 2022-06-11 01:54:58

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 649 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 648 và 1|| Thời gian tách : 2022-06-11 01:55:01

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 647 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 646 và 1|| Thời gian tách : 2022-06-11 01:57:25

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 646 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 645 và 1|| Thời gian tách : 2022-06-11 01:57:27

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 645 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 644 và 1|| Thời gian tách : 2022-06-11 01:57:30

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 644 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 643 và 1|| Thời gian tách : 2022-06-11 01:57:44

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 643 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 642 và 1|| Thời gian tách : 2022-06-11 01:57:46

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 642 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 641 và 1|| Thời gian tách : 2022-06-11 01:57:49

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 641 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 640 và 1|| Thời gian tách : 2022-06-11 01:57:51

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 640 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 639 và 1|| Thời gian tách : 2022-06-11 01:57:54

