
 Name : danchoi65 đã tách vật phẩm || Vật phẩm tách: 578 || Số lượng vật phẩm ban đầu 626 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 426 và 200|| Thời gian tách : 2022-03-25 14:34:54

 Name : s2vip2s đã tách vật phẩm || Vật phẩm tách: 20 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-25 14:54:09

 Name : giaphat đã tách vật phẩm || Vật phẩm tách: 839 || Số lượng vật phẩm ban đầu 30 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 29 và 1|| Thời gian tách : 2022-03-25 15:09:01

 Name : kamehago đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 8557 || Số lượng tách: 57 || Số lượng vật phẩm sau khi tách: 8500 và 57|| Thời gian tách : 2022-03-25 15:20:24

 Name : kamehago đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 8557 || Số lượng tách: 57 || Số lượng vật phẩm sau khi tách: 8500 và 57|| Thời gian tách : 2022-03-25 15:20:29

 Name : kotex50kk đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 3195 || Số lượng tách: 2000 || Số lượng vật phẩm sau khi tách: 1195 và 2000|| Thời gian tách : 2022-03-25 16:06:12

 Name : kagawa đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 10017 || Số lượng tách: 17 || Số lượng vật phẩm sau khi tách: 10000 và 17|| Thời gian tách : 2022-03-25 16:19:54

 Name : vjpnsoae đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 1259 || Số lượng tách: 300 || Số lượng vật phẩm sau khi tách: 959 và 300|| Thời gian tách : 2022-03-25 16:22:03

 Name : kotex50kk đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 1000 và 1000|| Thời gian tách : 2022-03-25 16:53:40

 Name : cavoiii đã tách vật phẩm || Vật phẩm tách: 436 || Số lượng vật phẩm ban đầu 321 || Số lượng tách: 240 || Số lượng vật phẩm sau khi tách: 81 và 240|| Thời gian tách : 2022-03-25 18:11:01

 Name : naruto đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 11427 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 10927 và 500|| Thời gian tách : 2022-03-25 18:24:41

 Name : moitapchoi đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 5564 || Số lượng tách: 9 || Số lượng vật phẩm sau khi tách: 5555 và 9|| Thời gian tách : 2022-03-25 18:36:17

 Name : cavoiii đã tách vật phẩm || Vật phẩm tách: 436 || Số lượng vật phẩm ban đầu 192 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 92 và 100|| Thời gian tách : 2022-03-25 19:04:36

 Name : apocalypse đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 9032 || Số lượng tách: 132 || Số lượng vật phẩm sau khi tách: 8900 và 132|| Thời gian tách : 2022-03-25 19:20:51

 Name : apocalypse đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 8900 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 8800 và 100|| Thời gian tách : 2022-03-25 19:23:45

 Name : apocalypse đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 8829 || Số lượng tách: 129 || Số lượng vật phẩm sau khi tách: 8700 và 129|| Thời gian tách : 2022-03-25 19:24:31

 Name : kamehago đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 8517 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 8417 và 100|| Thời gian tách : 2022-03-25 19:30:34

 Name : kamehago đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 8517 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 8417 và 100|| Thời gian tách : 2022-03-25 19:30:51

 Name : kamehago đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 8423 || Số lượng tách: 400 || Số lượng vật phẩm sau khi tách: 8023 và 400|| Thời gian tách : 2022-03-25 19:31:50

 Name : dolongdao đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 7280 || Số lượng tách: 1280 || Số lượng vật phẩm sau khi tách: 6000 và 1280|| Thời gian tách : 2022-03-25 19:32:00

 Name : kamehago đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 8023 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 7023 và 1000|| Thời gian tách : 2022-03-25 19:32:21

 Name : kamehago đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 7513 || Số lượng tách: 513 || Số lượng vật phẩm sau khi tách: 7000 và 513|| Thời gian tách : 2022-03-25 19:33:05

 Name : kamehago đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 7000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 6000 và 1000|| Thời gian tách : 2022-03-25 19:41:56

 Name : kamehago đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 6825 || Số lượng tách: 825 || Số lượng vật phẩm sau khi tách: 6000 và 825|| Thời gian tách : 2022-03-25 19:42:18

 Name : namcony đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 438 || Số lượng tách: 208 || Số lượng vật phẩm sau khi tách: 230 và 208|| Thời gian tách : 2022-03-25 19:53:25

