
 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 80 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 79 và 1|| Thời gian tách : 2022-08-08 00:03:09

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 79 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 78 và 1|| Thời gian tách : 2022-08-08 00:03:11

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 78 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 77 và 1|| Thời gian tách : 2022-08-08 00:03:14

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 77 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 76 và 1|| Thời gian tách : 2022-08-08 00:03:17

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 76 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 75 và 1|| Thời gian tách : 2022-08-08 00:03:21

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 75 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 74 và 1|| Thời gian tách : 2022-08-08 00:03:25

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 74 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 73 và 1|| Thời gian tách : 2022-08-08 00:04:05

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 73 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 72 và 1|| Thời gian tách : 2022-08-08 00:04:11

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 72 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 71 và 1|| Thời gian tách : 2022-08-08 00:04:14

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 71 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 70 và 1|| Thời gian tách : 2022-08-08 00:04:16

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 70 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 69 và 1|| Thời gian tách : 2022-08-08 00:04:19

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 69 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 68 và 1|| Thời gian tách : 2022-08-08 00:04:22

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 68 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 67 và 1|| Thời gian tách : 2022-08-08 00:04:24

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 79 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 78 và 1|| Thời gian tách : 2022-08-08 00:04:33

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 78 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 77 và 1|| Thời gian tách : 2022-08-08 00:04:37

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 77 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 74 và 3|| Thời gian tách : 2022-08-08 00:04:40

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 74 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 73 và 1|| Thời gian tách : 2022-08-08 00:04:45

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 73 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 72 và 1|| Thời gian tách : 2022-08-08 00:04:47

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 72 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 71 và 1|| Thời gian tách : 2022-08-08 00:04:51

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 71 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 70 và 1|| Thời gian tách : 2022-08-08 00:04:53

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-08-08 00:05:11

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-08 00:05:14

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 70 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 69 và 1|| Thời gian tách : 2022-08-08 00:05:18

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 69 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 68 và 1|| Thời gian tách : 2022-08-08 00:05:21

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 68 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 67 và 1|| Thời gian tách : 2022-08-08 00:05:25

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 79 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 78 và 1|| Thời gian tách : 2022-08-08 00:05:26

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 78 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 77 và 1|| Thời gian tách : 2022-08-08 00:05:27

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 67 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 66 và 1|| Thời gian tách : 2022-08-08 00:05:27

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 77 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 76 và 1|| Thời gian tách : 2022-08-08 00:05:29

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 76 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 75 và 1|| Thời gian tách : 2022-08-08 00:05:30

 Name : kurumi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 66 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 65 và 1|| Thời gian tách : 2022-08-08 00:05:30

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 75 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 74 và 1|| Thời gian tách : 2022-08-08 00:05:32

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 74 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 73 và 1|| Thời gian tách : 2022-08-08 00:05:33

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 73 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 72 và 1|| Thời gian tách : 2022-08-08 00:05:35

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 72 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 71 và 1|| Thời gian tách : 2022-08-08 00:05:36

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 71 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 70 và 1|| Thời gian tách : 2022-08-08 00:05:37

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 70 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 69 và 1|| Thời gian tách : 2022-08-08 00:05:38

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 69 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 68 và 1|| Thời gian tách : 2022-08-08 00:05:40

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 68 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 67 và 1|| Thời gian tách : 2022-08-08 00:05:41

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 67 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 66 và 1|| Thời gian tách : 2022-08-08 00:05:42

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 66 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 65 và 1|| Thời gian tách : 2022-08-08 00:05:43

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 65 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 64 và 1|| Thời gian tách : 2022-08-08 00:05:44

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 64 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 63 và 1|| Thời gian tách : 2022-08-08 00:05:46

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 63 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 62 và 1|| Thời gian tách : 2022-08-08 00:05:51

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 62 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 61 và 1|| Thời gian tách : 2022-08-08 00:05:52

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 61 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 60 và 1|| Thời gian tách : 2022-08-08 00:05:53

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 60 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 59 và 1|| Thời gian tách : 2022-08-08 00:05:55

