
 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 44 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 43 và 1|| Thời gian tách : 2022-05-16 23:31:45

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 43 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 42 và 1|| Thời gian tách : 2022-05-16 23:31:47

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 42 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 41 và 1|| Thời gian tách : 2022-05-16 23:31:48

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 41 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 40 và 1|| Thời gian tách : 2022-05-16 23:31:50

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 40 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 39 và 1|| Thời gian tách : 2022-05-16 23:31:52

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 39 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 38 và 1|| Thời gian tách : 2022-05-16 23:31:53

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 38 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 37 và 1|| Thời gian tách : 2022-05-16 23:31:55

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 37 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 36 và 1|| Thời gian tách : 2022-05-16 23:31:56

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 36 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 35 và 1|| Thời gian tách : 2022-05-16 23:31:58

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 35 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 34 và 1|| Thời gian tách : 2022-05-16 23:32:01

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 34 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 33 và 1|| Thời gian tách : 2022-05-16 23:32:13

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 33 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 32 và 1|| Thời gian tách : 2022-05-16 23:32:15

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 32 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 31 và 1|| Thời gian tách : 2022-05-16 23:32:17

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 31 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 30 và 1|| Thời gian tách : 2022-05-16 23:32:19

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 30 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 29 và 1|| Thời gian tách : 2022-05-16 23:32:21

 Name : xiosk89 đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 29 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 28 và 1|| Thời gian tách : 2022-05-16 23:32:23
