
 Name : cavoicon đã tách vật phẩm || Vật phẩm tách: 222 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-03-23 00:05:33
 Name : 3ssllxx đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 11 || Số lượng vật phẩm sau khi tách: 1 và 11|| Thời gian tách : 2022-03-23 19:25:52

 Name : kirito đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 5291 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 5091 và 200|| Thời gian tách : 2022-03-23 19:28:51

 Name : kirito đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 5210 || Số lượng tách: 210 || Số lượng vật phẩm sau khi tách: 5000 và 210|| Thời gian tách : 2022-03-23 19:29:12

 Name : kirito đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 5000 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 4500 và 500|| Thời gian tách : 2022-03-23 19:30:59

 Name : kirito đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 4500 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4450 và 50|| Thời gian tách : 2022-03-23 19:31:42

 Name : kirito đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 4450 || Số lượng tách: 150 || Số lượng vật phẩm sau khi tách: 4300 và 150|| Thời gian tách : 2022-03-23 19:33:20

 Name : dolongdao đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2000 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1900 và 100|| Thời gian tách : 2022-03-23 19:47:09

 Name : dolongdao đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 1900 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1800 và 100|| Thời gian tách : 2022-03-23 19:47:12

 Name : dolongdao đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 1800 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1700 và 100|| Thời gian tách : 2022-03-23 19:47:14

 Name : dolongdao đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 1700 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1600 và 100|| Thời gian tách : 2022-03-23 19:47:20

 Name : dolongdao đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 1600 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1500 và 100|| Thời gian tách : 2022-03-23 19:47:22

 Name : majhdhdn đã tách vật phẩm || Vật phẩm tách: 869 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 6 || Số lượng vật phẩm sau khi tách: 6 và 6|| Thời gian tách : 2022-03-23 20:17:07

 Name : putinn đã tách vật phẩm || Vật phẩm tách: 641 || Số lượng vật phẩm ban đầu 19 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 18 và 1|| Thời gian tách : 2022-03-23 20:56:02

 Name : tonthuong đã tách vật phẩm || Vật phẩm tách: 282 || Số lượng vật phẩm ban đầu 113 || Số lượng tách: 40 || Số lượng vật phẩm sau khi tách: 73 và 40|| Thời gian tách : 2022-03-23 21:02:23

 Name : s2ongtrumz đã tách vật phẩm || Vật phẩm tách: 763 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-23 21:17:14

 Name : namcony đã tách vật phẩm || Vật phẩm tách: 639 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-03-23 21:30:05

 Name : vipkhonganhem đã tách vật phẩm || Vật phẩm tách: 741 || Số lượng vật phẩm ban đầu 33 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 32 và 1|| Thời gian tách : 2022-03-23 21:31:14

 Name : kagawa đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 14068 || Số lượng tách: 1068 || Số lượng vật phẩm sau khi tách: 13000 và 1068|| Thời gian tách : 2022-03-23 21:38:06

 Name : kagawa đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 13000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 12000 và 1000|| Thời gian tách : 2022-03-23 21:39:29

