
 Name : vipkoae đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-07 17:58:05

 Name : vipkoae đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-07 17:58:09

 Name : vipkoae đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-07 17:58:18

 Name : vipkoae đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-07 17:58:22

 Name : ltsuka đã tách vật phẩm || Vật phẩm tách: 959 || Số lượng vật phẩm ban đầu 13650 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 13450 và 200|| Thời gian tách : 2022-05-07 19:26:03

 Name : ltsuka đã tách vật phẩm || Vật phẩm tách: 959 || Số lượng vật phẩm ban đầu 13450 || Số lượng tách: 2000 || Số lượng vật phẩm sau khi tách: 11450 và 2000|| Thời gian tách : 2022-05-07 19:26:08

 Name : ltsuka đã tách vật phẩm || Vật phẩm tách: 958 || Số lượng vật phẩm ban đầu 9487 || Số lượng tách: 2000 || Số lượng vật phẩm sau khi tách: 7487 và 2000|| Thời gian tách : 2022-05-07 19:26:15

 Name : ltsuka đã tách vật phẩm || Vật phẩm tách: 907 || Số lượng vật phẩm ban đầu 6501 || Số lượng tách: 3500 || Số lượng vật phẩm sau khi tách: 3001 và 3500|| Thời gian tách : 2022-05-07 19:26:31

 Name : ngocduy2 đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 490 || Số lượng tách: 90 || Số lượng vật phẩm sau khi tách: 400 và 90|| Thời gian tách : 2022-05-07 20:30:35

 Name : ngocduy2 đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 488 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 388 và 100|| Thời gian tách : 2022-05-07 21:14:46

 Name : ngocduy2 đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 488 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 388 và 100|| Thời gian tách : 2022-05-07 21:14:55

 Name : ngocduy2 đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 488 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 388 và 100|| Thời gian tách : 2022-05-07 21:15:01

 Name : tuthanvutru đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 408 || Số lượng tách: 80 || Số lượng vật phẩm sau khi tách: 328 và 80|| Thời gian tách : 2022-05-07 21:29:21

 Name : s2hacthien đã tách vật phẩm || Vật phẩm tách: 958 || Số lượng vật phẩm ban đầu 6522 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 6022 và 500|| Thời gian tách : 2022-05-07 22:10:35

 Name : s2hacthien đã tách vật phẩm || Vật phẩm tách: 958 || Số lượng vật phẩm ban đầu 6022 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 5522 và 500|| Thời gian tách : 2022-05-07 22:19:02

 Name : bochapcaserver đã tách vật phẩm || Vật phẩm tách: 959 || Số lượng vật phẩm ban đầu 398 || Số lượng tách: 98 || Số lượng vật phẩm sau khi tách: 300 và 98|| Thời gian tách : 2022-05-07 22:41:21

 Name : bochapcaserver đã tách vật phẩm || Vật phẩm tách: 959 || Số lượng vật phẩm ban đầu 398 || Số lượng tách: 98 || Số lượng vật phẩm sau khi tách: 300 và 98|| Thời gian tách : 2022-05-07 22:56:38
