
 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 126 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 125 và 1|| Thời gian tách : 2022-08-06 00:13:47

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 125 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 124 và 1|| Thời gian tách : 2022-08-06 00:13:49

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 124 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 123 và 1|| Thời gian tách : 2022-08-06 00:13:51

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 123 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 122 và 1|| Thời gian tách : 2022-08-06 00:13:53

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 122 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 121 và 1|| Thời gian tách : 2022-08-06 00:13:59

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 121 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 120 và 1|| Thời gian tách : 2022-08-06 00:14:00

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 120 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 119 và 1|| Thời gian tách : 2022-08-06 00:14:03

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 119 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 118 và 1|| Thời gian tách : 2022-08-06 00:14:04

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 118 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 117 và 1|| Thời gian tách : 2022-08-06 00:14:06

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 117 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 116 và 1|| Thời gian tách : 2022-08-06 00:14:08

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 116 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 115 và 1|| Thời gian tách : 2022-08-06 00:14:10

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 115 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 114 và 1|| Thời gian tách : 2022-08-06 00:14:12

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 114 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 113 và 1|| Thời gian tách : 2022-08-06 00:14:14

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 113 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 112 và 1|| Thời gian tách : 2022-08-06 00:14:16

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 112 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 111 và 1|| Thời gian tách : 2022-08-06 00:14:18

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 111 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 110 và 1|| Thời gian tách : 2022-08-06 00:14:20

