
 Name : inboxmenow đã tách vật phẩm || Vật phẩm tách: 423 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-24 11:31:46

 Name : huongly đã tách vật phẩm || Vật phẩm tách: 575 || Số lượng vật phẩm ban đầu 1017 || Số lượng tách: 117 || Số lượng vật phẩm sau khi tách: 900 và 117|| Thời gian tách : 2022-03-24 11:36:05

 Name : maumebebet đã tách vật phẩm || Vật phẩm tách: 228 || Số lượng vật phẩm ban đầu 173 || Số lượng tách: 73 || Số lượng vật phẩm sau khi tách: 100 và 73|| Thời gian tách : 2022-03-24 11:54:07

 Name : kirito đã tách vật phẩm || Vật phẩm tách: 262 || Số lượng vật phẩm ban đầu 555 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 554 và 1|| Thời gian tách : 2022-03-24 12:01:26

 Name : maumebebet đã tách vật phẩm || Vật phẩm tách: 222 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-03-24 12:19:35

 Name : ngocanh đã tách vật phẩm || Vật phẩm tách: 575 || Số lượng vật phẩm ban đầu 937 || Số lượng tách: 400 || Số lượng vật phẩm sau khi tách: 537 và 400|| Thời gian tách : 2022-03-24 12:28:22

 Name : ngocanh đã tách vật phẩm || Vật phẩm tách: 575 || Số lượng vật phẩm ban đầu 537 || Số lượng tách: 400 || Số lượng vật phẩm sau khi tách: 137 và 400|| Thời gian tách : 2022-03-24 12:28:27

 Name : ngocanh đã tách vật phẩm || Vật phẩm tách: 780 || Số lượng vật phẩm ban đầu 233 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 133 và 100|| Thời gian tách : 2022-03-24 12:30:23

 Name : ngocanh đã tách vật phẩm || Vật phẩm tách: 780 || Số lượng vật phẩm ban đầu 133 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 33 và 100|| Thời gian tách : 2022-03-24 12:30:29

 Name : namcony đã tách vật phẩm || Vật phẩm tách: 741 || Số lượng vật phẩm ban đầu 165 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 163 và 2|| Thời gian tách : 2022-03-24 12:37:34

 Name : namcony đã tách vật phẩm || Vật phẩm tách: 738 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-24 12:38:48

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 436 || Số lượng vật phẩm ban đầu 211 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 11 và 200|| Thời gian tách : 2022-03-24 12:43:27

 Name : demonhoang đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 9839 || Số lượng tách: 2000 || Số lượng vật phẩm sau khi tách: 7839 và 2000|| Thời gian tách : 2022-03-24 12:44:53

 Name : badbee đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2312 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 2212 và 100|| Thời gian tách : 2022-03-24 12:49:23

