
 Name : bia333 đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 740 || Số lượng tách: 140 || Số lượng vật phẩm sau khi tách: 600 và 140|| Thời gian tách : 2022-06-04 00:22:12
 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 2 và 2|| Thời gian tách : 2022-06-04 12:15:47

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 10 và 2|| Thời gian tách : 2022-06-04 12:15:55

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 8 và 2|| Thời gian tách : 2022-06-04 12:15:59

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 6 và 2|| Thời gian tách : 2022-06-04 12:16:08

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 5533 || Số lượng tách: 5000 || Số lượng vật phẩm sau khi tách: 533 và 5000|| Thời gian tách : 2022-06-04 13:26:33

 Name : facebook đã tách vật phẩm || Vật phẩm tách: 603 || Số lượng vật phẩm ban đầu 2121 || Số lượng tách: 2000 || Số lượng vật phẩm sau khi tách: 121 và 2000|| Thời gian tách : 2022-06-04 13:30:00

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 8935 || Số lượng tách: 615 || Số lượng vật phẩm sau khi tách: 8320 và 615|| Thời gian tách : 2022-06-04 13:31:53

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 8320 || Số lượng tách: 60 || Số lượng vật phẩm sau khi tách: 8260 và 60|| Thời gian tách : 2022-06-04 13:32:53

 Name : hakaishin đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 14 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 13 và 1|| Thời gian tách : 2022-06-04 14:41:26

 Name : hakaishin đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 13 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 12 và 1|| Thời gian tách : 2022-06-04 14:41:31

 Name : hakaishin đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 11 và 1|| Thời gian tách : 2022-06-04 14:41:38

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 43 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 42 và 1|| Thời gian tách : 2022-06-04 14:41:40

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 42 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 41 và 1|| Thời gian tách : 2022-06-04 14:41:42

 Name : hakaishin đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 11 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10 và 1|| Thời gian tách : 2022-06-04 14:41:43

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 41 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 40 và 1|| Thời gian tách : 2022-06-04 14:41:44

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 40 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 39 và 1|| Thời gian tách : 2022-06-04 14:41:46

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 39 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 38 và 1|| Thời gian tách : 2022-06-04 14:41:48

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 38 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 37 và 1|| Thời gian tách : 2022-06-04 14:41:52

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 37 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 36 và 1|| Thời gian tách : 2022-06-04 14:41:54

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 36 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 35 và 1|| Thời gian tách : 2022-06-04 14:42:45

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 35 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 34 và 1|| Thời gian tách : 2022-06-04 14:42:47

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 34 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 33 và 1|| Thời gian tách : 2022-06-04 14:42:49

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 33 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 32 và 1|| Thời gian tách : 2022-06-04 14:42:51

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 32 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 31 và 1|| Thời gian tách : 2022-06-04 14:42:53

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 31 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 30 và 1|| Thời gian tách : 2022-06-04 14:42:56

 Name : shinbaby đã tách vật phẩm || Vật phẩm tách: 987 || Số lượng vật phẩm ban đầu 9658 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 8658 và 1000|| Thời gian tách : 2022-06-04 16:08:34

 Name : cocailon đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 40 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 35 và 5|| Thời gian tách : 2022-06-04 16:46:00

 Name : cocailon đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 35 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 30 và 5|| Thời gian tách : 2022-06-04 16:46:02

 Name : cocailon đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 30 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 25 và 5|| Thời gian tách : 2022-06-04 16:46:04

 Name : cocailon đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 25 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 20 và 5|| Thời gian tách : 2022-06-04 16:46:05

 Name : cocailon đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 20 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 15 và 5|| Thời gian tách : 2022-06-04 16:46:07

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 1005 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 905 và 100|| Thời gian tách : 2022-06-04 17:58:46

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 958 || Số lượng vật phẩm ban đầu 572 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 372 và 200|| Thời gian tách : 2022-06-04 19:10:20

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 105 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 100 và 5|| Thời gian tách : 2022-06-04 19:11:18

 Name : trumtop đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 947 || Số lượng tách: 7 || Số lượng vật phẩm sau khi tách: 940 và 7|| Thời gian tách : 2022-06-04 20:10:56

 Name : caynlsk11 đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 102 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 100 và 2|| Thời gian tách : 2022-06-04 20:44:42

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 715 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 695 và 20|| Thời gian tách : 2022-06-04 21:44:50

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 695 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 595 và 100|| Thời gian tách : 2022-06-04 21:44:57

