
 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 92 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 91 và 1|| Thời gian tách : 2022-05-31 06:42:49

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 91 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 90 và 1|| Thời gian tách : 2022-05-31 06:42:54

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 90 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 89 và 1|| Thời gian tách : 2022-05-31 06:43:00

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 89 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 88 và 1|| Thời gian tách : 2022-05-31 06:43:06

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 88 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 87 và 1|| Thời gian tách : 2022-05-31 06:43:13

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 87 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 86 và 1|| Thời gian tách : 2022-05-31 06:43:19

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 86 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 85 và 1|| Thời gian tách : 2022-05-31 06:43:25

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 85 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 84 và 1|| Thời gian tách : 2022-05-31 06:43:30

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 84 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 83 và 1|| Thời gian tách : 2022-05-31 06:43:39

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 83 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 82 và 1|| Thời gian tách : 2022-05-31 06:43:44

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 82 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 81 và 1|| Thời gian tách : 2022-05-31 06:43:49

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 81 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 80 và 1|| Thời gian tách : 2022-05-31 06:43:56

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 80 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 79 và 1|| Thời gian tách : 2022-05-31 06:44:01

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 79 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 78 và 1|| Thời gian tách : 2022-05-31 06:44:06

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 78 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 77 và 1|| Thời gian tách : 2022-05-31 06:44:11

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 77 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 76 và 1|| Thời gian tách : 2022-05-31 06:44:17

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 76 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 75 và 1|| Thời gian tách : 2022-05-31 06:44:22

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 75 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 74 và 1|| Thời gian tách : 2022-05-31 06:44:45

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 74 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 73 và 1|| Thời gian tách : 2022-05-31 06:44:51

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 73 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 72 và 1|| Thời gian tách : 2022-05-31 06:44:56

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 72 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 71 và 1|| Thời gian tách : 2022-05-31 06:45:07

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 71 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 70 và 1|| Thời gian tách : 2022-05-31 06:45:15

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 70 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 69 và 1|| Thời gian tách : 2022-05-31 06:45:23

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 69 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 68 và 1|| Thời gian tách : 2022-05-31 06:45:31

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 68 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 67 và 1|| Thời gian tách : 2022-05-31 06:45:36

 Name : giacatluong đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 67 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 66 và 1|| Thời gian tách : 2022-05-31 06:46:44

 Name : aduduu đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 19922 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 18922 và 1000|| Thời gian tách : 2022-05-31 08:12:48

 Name : aduduu đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 18922 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 17922 và 1000|| Thời gian tách : 2022-05-31 08:12:58

 Name : aduduu đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 17922 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 17422 và 500|| Thời gian tách : 2022-05-31 08:14:52

 Name : duyhao đã tách vật phẩm || Vật phẩm tách: 778 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-31 08:28:01

 Name : aduduu đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 17422 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 16922 và 500|| Thời gian tách : 2022-05-31 08:30:00

 Name : aduduu đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 16922 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 16422 và 500|| Thời gian tách : 2022-05-31 08:30:07

 Name : habara đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 36 || Số lượng tách: 6 || Số lượng vật phẩm sau khi tách: 30 và 6|| Thời gian tách : 2022-05-31 08:59:03

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 200 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 100 và 100|| Thời gian tách : 2022-05-31 09:27:22

 Name : quat7x đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 27 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 26 và 1|| Thời gian tách : 2022-05-31 09:49:42

 Name : quat7x đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 16 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 15 và 1|| Thời gian tách : 2022-05-31 09:49:47

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 958 || Số lượng vật phẩm ban đầu 222 || Số lượng tách: 22 || Số lượng vật phẩm sau khi tách: 200 và 22|| Thời gian tách : 2022-05-31 10:17:16

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 954 || Số lượng vật phẩm ban đầu 4900 || Số lượng tách: 900 || Số lượng vật phẩm sau khi tách: 4000 và 900|| Thời gian tách : 2022-05-31 10:17:57

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 958 || Số lượng vật phẩm ban đầu 95 || Số lượng tách: 15 || Số lượng vật phẩm sau khi tách: 80 và 15|| Thời gian tách : 2022-05-31 10:18:55

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 958 || Số lượng vật phẩm ban đầu 95 || Số lượng tách: 15 || Số lượng vật phẩm sau khi tách: 80 và 15|| Thời gian tách : 2022-05-31 10:19:01

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 958 || Số lượng vật phẩm ban đầu 95 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 85 và 10|| Thời gian tách : 2022-05-31 10:19:07

 Name : ongcoc đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 4 || Số lượng vật phẩm sau khi tách: 11 và 4|| Thời gian tách : 2022-05-31 10:44:28

 Name : ongcoc đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 14 và 1|| Thời gian tách : 2022-05-31 10:44:37

