
 Name : shinbaby đã tách vật phẩm || Vật phẩm tách: 565 || Số lượng vật phẩm ban đầu 900 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 800 và 100|| Thời gian tách : 2022-05-30 22:42:16

 Name : shinbaby đã tách vật phẩm || Vật phẩm tách: 565 || Số lượng vật phẩm ban đầu 800 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 700 và 100|| Thời gian tách : 2022-05-30 22:42:21

 Name : shinbaby đã tách vật phẩm || Vật phẩm tách: 565 || Số lượng vật phẩm ban đầu 700 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 600 và 100|| Thời gian tách : 2022-05-30 22:42:33

 Name : shinbaby đã tách vật phẩm || Vật phẩm tách: 565 || Số lượng vật phẩm ban đầu 600 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 500 và 100|| Thời gian tách : 2022-05-30 22:42:45

 Name : shinbaby đã tách vật phẩm || Vật phẩm tách: 565 || Số lượng vật phẩm ban đầu 500 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 400 và 100|| Thời gian tách : 2022-05-30 22:42:57

 Name : shinbaby đã tách vật phẩm || Vật phẩm tách: 565 || Số lượng vật phẩm ban đầu 400 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 300 và 100|| Thời gian tách : 2022-05-30 22:43:08

 Name : shinbaby đã tách vật phẩm || Vật phẩm tách: 565 || Số lượng vật phẩm ban đầu 300 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 200 và 100|| Thời gian tách : 2022-05-30 22:43:14

 Name : shinbaby đã tách vật phẩm || Vật phẩm tách: 565 || Số lượng vật phẩm ban đầu 200 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 100 và 100|| Thời gian tách : 2022-05-30 22:43:19

 Name : dbrrrhahah đã tách vật phẩm || Vật phẩm tách: 642 || Số lượng vật phẩm ban đầu 334 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 333 và 1|| Thời gian tách : 2022-05-30 22:58:24

 Name : dbrrrhahah đã tách vật phẩm || Vật phẩm tách: 642 || Số lượng vật phẩm ban đầu 341 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 340 và 1|| Thời gian tách : 2022-05-30 22:59:00

 Name : dbrrrhahah đã tách vật phẩm || Vật phẩm tách: 642 || Số lượng vật phẩm ban đầu 340 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 339 và 1|| Thời gian tách : 2022-05-30 22:59:08

 Name : dbrrrhahah đã tách vật phẩm || Vật phẩm tách: 641 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-05-30 22:59:25

 Name : dbrrrhahah đã tách vật phẩm || Vật phẩm tách: 642 || Số lượng vật phẩm ban đầu 367 || Số lượng tách: 33 || Số lượng vật phẩm sau khi tách: 334 và 33|| Thời gian tách : 2022-05-30 23:00:59

 Name : dbrrrhahah đã tách vật phẩm || Vật phẩm tách: 641 || Số lượng vật phẩm ban đầu 26 || Số lượng tách: 22 || Số lượng vật phẩm sau khi tách: 4 và 22|| Thời gian tách : 2022-05-30 23:01:07
