
 Name : huy2chim đã tách vật phẩm || Vật phẩm tách: 596 || Số lượng vật phẩm ban đầu 88 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 83 và 5|| Thời gian tách : 2022-05-17 00:11:10
 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-05-17 06:14:03

 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 8 và 1|| Thời gian tách : 2022-05-17 06:14:04

 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-05-17 06:14:05

 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-05-17 06:14:08

 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-05-17 06:14:09

 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-17 06:14:10

 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-17 06:14:12

 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-17 06:14:13

 Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 601 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-17 06:14:15

