
 Name : kocanbiet đã tách vật phẩm || Vật phẩm tách: 838 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-04-12 00:14:15
 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1604 || Số lượng tách: 108 || Số lượng vật phẩm sau khi tách: 1496 và 108|| Thời gian tách : 2022-04-12 20:46:09

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1496 || Số lượng tách: 108 || Số lượng vật phẩm sau khi tách: 1388 và 108|| Thời gian tách : 2022-04-12 20:46:10

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1388 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1288 và 100|| Thời gian tách : 2022-04-12 20:46:13

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1288 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1188 và 100|| Thời gian tách : 2022-04-12 20:46:15

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1188 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1088 và 100|| Thời gian tách : 2022-04-12 20:46:17

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1088 || Số lượng tách: 108 || Số lượng vật phẩm sau khi tách: 980 và 108|| Thời gian tách : 2022-04-12 20:46:19

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 980 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 880 và 100|| Thời gian tách : 2022-04-12 20:46:25

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 880 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 780 và 100|| Thời gian tách : 2022-04-12 20:46:27

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 780 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 680 và 100|| Thời gian tách : 2022-04-12 20:46:29

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 680 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 580 và 100|| Thời gian tách : 2022-04-12 20:46:32

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 580 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 480 và 100|| Thời gian tách : 2022-04-12 20:46:34

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 480 || Số lượng tách: 108 || Số lượng vật phẩm sau khi tách: 372 và 108|| Thời gian tách : 2022-04-12 20:46:36

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 372 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 272 và 100|| Thời gian tách : 2022-04-12 20:46:39

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 272 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 172 và 100|| Thời gian tách : 2022-04-12 20:46:41

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 172 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 72 và 100|| Thời gian tách : 2022-04-12 20:46:43
