
 Name : kocanbiet đã tách vật phẩm || Vật phẩm tách: 838 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-04-12 00:14:15
 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 50 || Số lượng tách: 25 || Số lượng vật phẩm sau khi tách: 25 và 25|| Thời gian tách : 2022-04-12 19:57:36

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 50 || Số lượng tách: 25 || Số lượng vật phẩm sau khi tách: 25 và 25|| Thời gian tách : 2022-04-12 19:57:39

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 5000 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4950 và 50|| Thời gian tách : 2022-04-12 20:03:51

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4950 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4900 và 50|| Thời gian tách : 2022-04-12 20:03:53

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4900 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4850 và 50|| Thời gian tách : 2022-04-12 20:03:55

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4850 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4800 và 50|| Thời gian tách : 2022-04-12 20:04:07

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4800 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4750 và 50|| Thời gian tách : 2022-04-12 20:04:09

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4750 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4700 và 50|| Thời gian tách : 2022-04-12 20:04:11

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4700 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4650 và 50|| Thời gian tách : 2022-04-12 20:04:12

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4650 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4600 và 50|| Thời gian tách : 2022-04-12 20:04:14

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4600 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4550 và 50|| Thời gian tách : 2022-04-12 20:04:16

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4550 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4500 và 50|| Thời gian tách : 2022-04-12 20:04:18

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4500 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4450 và 50|| Thời gian tách : 2022-04-12 20:04:20

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4450 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4400 và 50|| Thời gian tách : 2022-04-12 20:04:22

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4400 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4350 và 50|| Thời gian tách : 2022-04-12 20:04:26

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4350 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4300 và 50|| Thời gian tách : 2022-04-12 20:04:28

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4300 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4250 và 50|| Thời gian tách : 2022-04-12 20:04:29

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4250 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4200 và 50|| Thời gian tách : 2022-04-12 20:04:33

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4200 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4150 và 50|| Thời gian tách : 2022-04-12 20:04:44

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4150 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4100 và 50|| Thời gian tách : 2022-04-12 20:04:46

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4100 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4050 và 50|| Thời gian tách : 2022-04-12 20:04:48

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4050 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4000 và 50|| Thời gian tách : 2022-04-12 20:04:49

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4000 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 3950 và 50|| Thời gian tách : 2022-04-12 20:04:51

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3950 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 3900 và 50|| Thời gian tách : 2022-04-12 20:04:53

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3900 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 3850 và 50|| Thời gian tách : 2022-04-12 20:04:55

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3850 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 3800 và 50|| Thời gian tách : 2022-04-12 20:04:57

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3800 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 3750 và 50|| Thời gian tách : 2022-04-12 20:04:59

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3750 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 3700 và 50|| Thời gian tách : 2022-04-12 20:05:01

